fnid,residential_density,landusemix,open_ratio,intersections_destiny,center,airport,railway,dock,coach,trans_count,sport_count,public_count,company_count,hospital_count,govern_count,life_count,edu_count,shopping_count,finance_count,attractions_count,food_service_count,cityBranch,cycleway,freeway,innerRoad,mainRoad,notBuiltRoad,sideWalks,subrbanRoad,urbunSecondary
7566,0.233393036,0.755195822,0.153978889,0.203703704,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14695,0,0.691593683,0,0.018518519,0.132260074,0.172093338,0,0.079161814,0.05149691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4345,0.002076537,0.751781254,0.25229125,0.166666667,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17566,0.025925396,0.586222939,0.085646667,0.25,0.100810015,0.169047777,0.099926934,0.100028583,0.046493324,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.105191697,0,0,0.311362545,0.453894248,0.083421512,0,0.046129998
14700,0.000599116,0.758261884,0,0.083333333,0.132260074,0.172093338,0,0.079161814,0.05149691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12931,0.05944567,0.893887113,0.03695,0.351851852,0.205435372,0.209804554,0.097594825,0.057464181,0.037388161,0.134615385,0,0.038461538,0.038461538,0.038461538,0.153846154,0.134615385,0.019230769,0,0,0,0.442307692,0.130667056,0,0.148919942,0.592740674,0,0,0.127672328,0,0
11139,0.231051827,0.743331212,0,0.185185185,0.168163051,0.193584454,0.057119514,0.056216301,0.053225238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18624,0.382351284,0.816311811,0.02081,0.324074074,0.000247661,0.13620659,0.128442622,0.134418098,0.00047933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11504,0,0.504432253,0.086497778,0.212962963,0.223251155,0.216656353,0.11315457,0.049641112,0.049913042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.013208307,0.727246324,0,0,0.259545369,0
17193,0.023909909,0.737124928,0.031236667,0.092592593,0,0.136104805,0.128202558,0.134299973,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16147,0.071444698,0.719279202,0,0.018518519,0.217121835,0.215931949,0.114523006,0.058061909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9696,0.054025177,0.708987335,0.020607778,0.111111111,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
