fnid,main_road,inner_road,city_branch,urban_secondary,suburban_road,sidewalks,free_way,cycleway,not_built_road,TRANS,LODGING,SPORT,PUBLIC,COMPANY,HOSPITAL,BUSINESS,INDOOR,MOTO,GOVERN,CAR_SERVICE,CAR_REPAIR,CAR_SALE,LIFE,EDU,SHOPPING,TRANSIT,ROAD,FINANCE,ATTRACTION,FOOD_SERVICE
16465,0,0,0.272223744,0.201561399,0,0,0,0,1.584445343,0.369545865,0,0,0.491550821,0.295139012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16473,0.220498707,0.320725014,0.03285459,0,0,0.620331737,0,0,0,0.073909173,0.125364311,0.115065781,0,0.206597308,0.057025147,0,0,0,0,0.059035715,0,0,0.272773055,0.094148871,0,0,0,0,0,0.29269342
16488,0,1.205688479,0,0,0,0.444188157,0,0,0,0,0,0,1.474652462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16508,0.140537637,0.442905972,0.204167808,0,0,0.142774765,0,0.43771807,0,0.032606988,0,0.152292946,0,0.10416671,0,0.065172187,0,0,0,0.104180674,0.130515972,0,0.040113685,0.1246088,0,0.160091704,0,0,0,0.442729543
16618,0,0,0.346466583,0.128266345,0,1.090280023,0,0,0,0.22741284,0,0.132768209,0.189058008,0.022703001,0,0.056816779,0,0,0.159345637,0,0,0,0.069941809,0.289688834,0,0.083740276,0,0,0.114782338,0.096492336
16725,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16916,0.178866084,0.422773882,0.173233292,0.064133172,0,0.272570006,0,0,0,0.383759168,0,0,0.113434805,0,0.065798246,0,0,0,0.418282296,0,0,0,0.052456357,0,0,0.251220827,0,0,0,0
17234,0,0,0.952783103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17260,0,0,0,0,0,1.998846708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17278,0.020495072,0.710494997,0.19849648,0.117577483,0,0.416426398,0,0,0,0.134834302,0.025411685,0,0,0.011965095,0.161828119,0,0,0,0.020994864,0.023933398,0.029983399,0,0.20273673,0.438937304,0.043969218,0.058844518,0,0,0,0.237318989
